Sorbet fraise-basilic par Laurent Mariotte,"
			Ingrédients : fraises parfumées (ciflorette, charlotte…),basilic frais,sucre de canne,jus de citron.La veille, préparez un sirop : portez le sucre et 10 cl d’eau à ébullition avec...		", 0,15 min,true
Tarte tatin,"
			Ingrédients : pomme golden bien jaunes,pâte feuilletée (toute prête ou faite maison),sucre vanillé,cannelle,beurre,sucre en poudre.Préchauffer le four à 180°C (thermostat 6)....		", 4.6,1h10,false
Mojito Fraise,"
			Ingrédients : rhum cubain (havana club, bacardi) ,feuille de menthe ,citron vert ,fraises ,jus de fraises ,sirop de sucre de canne .Réalisez la recette ""Mojito Fraise"" directement dans le verre.Coupez le demi citron...		", 3.1,"",true
'The' tarte au citron meringuée,"
			Ingrédients : farine,beurre doux,sucre semoule,jaune d'oeuf,eau,sel,citron de taille moyenne,sucre semoule,oeuf,maïzena,blanc d'oeuf,sucre glace,levure chimique.On commence par la pâte sablée : mettre le four à...		", 4.7,55 min,false
